id,frameTime,voiceProb_sma_range,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_nnz,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_stddev,HNR_sma_amean,HNR_sma_nnz,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_nnz,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_nnz,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_nnz,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_nnz,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0
26753-018,0.0,0.6985117,0.1119077,0.7690079000000001,106,106,105,1,314.8013,45.357009999999995,19.765439999999998,106,106,105,1,271.7253,45.21163,136.4378,103,103,102,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6.541929e-06,1.1752670000000001e-06,6.095689999999999e-07,106,106,105,1
45758-007,0.0,0.6478271,0.1639165,0.5783644,195,195,194,1,330.1127,35.67889,4.808593,195,195,194,1,200.1382,48.77497,135.9616,156,156,155,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6.793244999999999e-06,9.888478000000001e-07,6.421401999999999e-07,195,195,194,1
81392-034,0.0,0.7350404,0.2297317,0.6473438,195,195,194,1,336.3876,51.94612,18.14285,195,195,194,1,429.443,61.19673,180.8544,161,161,160,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,9.885491e-06,1.484918e-06,7.789076e-07,195,195,194,1
81392-035,0.0,0.8327394,0.21910149999999998,0.6857774,796,796,795,1,336.2448,30.76613,13.150920000000001,796,796,795,1,445.3925,83.58086999999999,208.0715,703,703,702,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.03960177,0.002452943,0.05921932,324,324,323,1,8.753574e-06,1.702206e-06,1.000536e-06,796,796,795,1
26753-005,0.0,0.5472537,0.11226269999999999,0.7158901999999999,96,96,95,1,27.256079999999997,5.980624,9.241764,96,96,95,1,87.98598,16.112679999999997,113.3349,93,93,92,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.414996e-05,3.657138e-06,2.364595e-06,96,96,95,1
81392-023,0.0,0.7741215,0.1959585,0.5642229,356,356,355,1,333.6279,43.7801,11.31691,356,356,355,1,463.8252,136.6214,234.5933,260,260,259,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0008281861999999999,0.0002383684,0.001146719,13,13,12,1,6.9331880000000005e-06,1.1300830000000002e-06,6.207436e-07,356,356,355,1
81392-039,0.0,0.7040185999999999,0.18760829999999998,0.7287986,195,195,194,1,46.52398,11.346589999999999,9.790878999999999,195,195,194,1,353.7085,49.41915,231.2068,183,183,182,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.380357e-06,1.166653e-06,6.935273e-07,195,195,194,1
45758-002,0.0,0.8198440999999999,0.21462150000000002,0.6805653,256,256,255,1,185.3925,19.85067,11.547360000000001,256,256,255,1,440.4547,117.6389,273.9954,228,228,227,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,5.144575e-06,1.041909e-06,7.234668999999999e-07,256,256,255,1
68117-009,0.0,0.6974393,0.220887,0.585394,86,86,85,1,475.6013,71.48756,20.99566,86,86,85,1,433.4881,104.6206,229.2997,66,66,65,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.0383179999999998e-07,4.6233570000000004e-08,3.747883e-08,86,86,85,1
47939-008,0.0,0.7208439999999999,0.1724674,0.4908692,205,205,204,1,334.2659,53.63717,11.75858,205,205,204,1,293.8791,74.53519,168.4152,127,127,126,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.138588e-06,2.1262229999999999e-07,1.2599830000000002e-07,205,205,204,1
26753-024,0.0,0.726225,0.1322049,0.6896329000000001,275,275,274,1,477.6018,54.813719999999996,17.24605,275,275,274,1,450.8319,123.4659,182.3013,263,263,262,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.3636509999999997e-05,3.872156e-06,1.844529e-06,275,275,274,1
47939-007,0.0,0.6506835999999999,0.1904711,0.49895870000000003,112,112,111,1,181.7186,37.15419,6.7367360000000005,112,112,111,1,397.2605,121.5965,195.7881,80,80,79,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.7667989999999997e-06,5.010383000000001e-07,2.5502259999999997e-07,112,112,111,1
35063-005,0.0,0.6195725000000001,0.14860009999999998,0.4975669,86,86,85,1,474.2637,114.2251,53.63366,86,86,85,1,425.6659,102.0887,198.7404,59,59,58,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.058145e-06,5.999596999999999e-07,3.232546e-07,86,86,85,1
81392-009,0.0,0.7281076,0.2181486,0.7299939000000001,186,186,185,1,48.84666,12.98822,9.468577999999999,186,186,185,1,196.7997,34.09639,155.3998,165,165,164,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7.057723999999999e-06,1.582389e-06,1.419315e-06,186,186,185,1
47939-012,0.0,0.7224054,0.15588229999999997,0.42541890000000004,96,96,95,1,490.9257,134.671,60.8485,96,96,95,1,257.9422,64.7281,147.0883,50,50,49,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.0820890000000004e-06,5.533707e-07,2.893589e-07,96,96,95,1
81392-007,0.0,0.7638944999999999,0.1994962,0.6719734,655,655,654,1,483.1226,47.394709999999996,16.62779,655,655,654,1,454.5494,92.55663,200.251,590,590,589,1,0.09517663,0.0239337,0.08739892,142,142,141,1,0.02671761,0.004032847,0.03932026,53,53,52,1,0.02487195,0.007689804000000001,0.01521153,375,375,374,1,1.258347e-05,1.535466e-06,8.719587e-07,655,655,654,1
81392-008,0.0,0.8016215999999999,0.2155176,0.6583439,1096,1096,1095,1,346.6712,27.84693,10.832410000000001,1096,1096,1095,1,449.5664,86.76463000000001,186.1464,932,932,931,1,0.3589825,0.09380607,0.1340305,418,418,417,1,0.08638063,0.007296679,0.1281329,176,176,175,1,0.1010653,0.04359936,0.03882997,815,815,814,1,7.783068e-06,1.349296e-06,9.116278e-07,1096,1096,1095,1
26753-025,0.0,0.7168868,0.16982979999999998,0.6434905,696,696,695,1,507.7989,43.86032,12.94416,696,696,695,1,406.6336,68.13252,120.8525,624,624,623,1,0.2037525,0.02098617,0.3029941,116,116,115,1,0.0,0.0,0.0,0,0,0,0,0.3841119,0.1692341,0.14588620000000002,361,361,360,1,8.216781e-06,1.333655e-06,9.282555000000001e-07,696,696,695,1
