id,frameTime,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,speakingRate_sma_range,speakingRate_sma_linregc1,speakingRate_sma_linregerrA,speakingRate_sma_stddev,speakingRate_sma_amean,speakingRate_sma_duration,speakingRate_sma_upleveltime0.0,speakingRate_sma_downleveltime0.0,label
87083-028,0.0,0.8259694,-0.0007766829,0.1931906,0.2560113,0.6276676,476,475,1,503.6435,0.1499261,50.468140000000005,95.64161999999999,31.86372,476,475,1,245.1003,-0.3811717,31.09934,57.70247,147.6968,353,352,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.001692792,0.00019144669999999998,0.0003173985,0.0005890667,0.002221789,8,7,1,7.749759e-06,-1.257787e-09,1.0372e-06,1.472318e-06,1.050262e-06,476,475,1,4.1666669999999995,0.003531327,1.098653,1.271399,3.741419,437,436,1,0
88947-003,0.0,0.7168071999999999,-0.0001219049,0.1454525,0.1701187,0.5277894000000001,655,654,1,504.7625,0.09395863,35.02807,65.99763,18.67501,655,654,1,459.9413,0.1085543,66.51054,91.97388000000001,141.3615,451,450,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.006209057,5.566786e-07,7.690984000000001e-05,0.00038940059999999997,0.009284111999999999,316,315,1,6.387114e-06,-6.664334e-10,6.350995000000001e-07,9.563571999999998e-07,5.674989e-07,655,654,1,19.16667,0.02379844,2.544244,5.318894,8.839286,616,615,1,0
26753-024,0.0,0.726225,-0.0004095028,0.10112539999999999,0.1322049,0.6896329000000001,275,274,1,477.6018,-0.1484107,20.66404,54.813719999999996,17.24605,275,274,1,450.8319,0.2528511,97.55986999999999,123.4659,182.3013,263,262,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.3636509999999997e-05,1.4158919999999999e-08,2.260504e-06,3.872156e-06,1.844529e-06,275,274,1,7.5,0.009324394,1.2971409999999999,1.666248,3.601695,236,235,1,0
47939-007,0.0,0.6506835999999999,0.00025593240000000003,0.16313350000000001,0.1904711,0.49895870000000003,112,111,1,181.7186,-0.26431129999999997,19.9332,37.15419,6.7367360000000005,112,111,1,397.2605,-3.624421,67.30077,121.5965,195.7881,80,79,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.7667989999999997e-06,4.071359e-10,3.0434859999999995e-07,5.010383000000001e-07,2.5502259999999997e-07,112,111,1,5.8333330000000005,0.04111131,0.7911305999999999,1.355134,6.472602999999999,73,72,1,0
61496-009,0.0,0.5204219,0.0008521036,0.14069679999999998,0.15915910000000003,0.5966220999999999,36,35,1,30.81815,0.1327543,6.5451,8.130929,4.499985,36,35,1,358.8088,2.85973,90.88163,110.4001,326.2632,30,29,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.023325e-07,-4.45821e-09,1.480915e-07,2.1490579999999997e-07,1.4322839999999999e-07,36,35,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
52053-010,0.0,0.6030005999999999,-0.02100366,0.07622746,0.20852420000000002,0.40498140000000005,31,30,1,28.831259999999997,-0.9700300999999999,3.817945,9.733602000000001,-6.111237,31,30,1,165.5552,0.8006143,53.344640000000005,60.75147,192.3258,12,11,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.388105e-06,-5.983448e-08,4.1427120000000003e-07,7.436960999999999e-07,4.949717000000001e-07,31,30,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
87083-018,0.0,0.6685019,0.001019155,0.12983319999999998,0.1776145,0.6976549,215,214,1,40.83515,0.05732079,7.617151,10.17108,7.8479399999999995,215,214,1,204.1082,0.1544906,15.6212,28.052329999999998,119.3112,193,192,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.6024800000000004e-06,2.881106e-10,1.00537e-06,1.266942e-06,1.245886e-06,215,214,1,7.5,0.00016784919999999999,1.2037280000000001,1.480115,8.053977,176,175,1,0
35063-005,0.0,0.6195725000000001,0.001917946,0.1115529,0.14860009999999998,0.4975669,86,85,1,474.2637,-1.655171,74.45729,114.2251,53.63366,86,85,1,425.6659,-1.2406700000000002,82.51268,102.0887,198.7404,59,58,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.058145e-06,-1.352971e-09,4.176023e-07,5.999596999999999e-07,3.232546e-07,86,85,1,10.0,0.1244026,0.702983,1.911607,8.829787,47,46,1,3
52053-011,0.0,0.7843983,-0.001537221,0.18300650000000002,0.237262,0.5197396,215,214,1,497.9295,-0.143494,17.003,47.4133,5.225711,215,214,1,320.6858,-1.003652,44.6717,71.99768,153.6983,135,134,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.620395e-06,1.802179e-09,6.32648e-07,9.434928000000001e-07,6.574869e-07,215,214,1,7.5,0.005945958,1.167031,1.631202,4.815341,176,175,1,0
81392-009,0.0,0.7281076,-0.0002387773,0.18228139999999998,0.2181486,0.7299939000000001,186,185,1,48.84666,-0.03305653,10.916960000000001,12.98822,9.468577999999999,186,185,1,196.7997,-0.3219257,18.45099,34.09639,155.3998,165,164,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.057723999999999e-06,5.9853789999999995e-09,1.209248e-06,1.582389e-06,1.419315e-06,186,185,1,8.333333,0.009854007,1.19592,1.85054,5.510204,147,146,1,3
