id,frameTime,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,label
81392-041,0.0,0.8498688,-9.018426e-06,0.2017411,0.2327725,0.6191036,1506,1505,1,490.6356,-0.003883722,16.562089999999998,38.33146,11.60593,1506,1505,1,456.7787,-0.06428807,82.91532,108.8565,225.2934,1209,1208,1,0.48472380000000004,0.0001400556,0.1134874,0.14796900000000002,0.1985808,970,969,1,0.3165954,-2.331542e-05,0.0870865,0.1036393,0.1276604,899,792,107,0.9947450999999999,-0.0006151642,0.2541324,0.37045659999999997,0.3933969,1071,931,140,1.1926760000000001e-05,-2.360859e-10,9.720721e-07,1.428912e-06,8.510586e-07,1506,1505,1,3
47939-001,0.0,0.4971692,0.008359077,0.1238432,0.1633376,0.7210641999999999,26,25,1,29.061840000000004,0.16126229999999997,6.372143,8.172805,7.610618,26,25,1,122.1316,1.916468,25.79593,38.05361,146.0123,26,25,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.275723000000001e-06,-5.156214e-08,1.081801e-06,1.406293e-06,1.311585e-06,26,25,1,0
26753-023,0.0,0.8395551,3.3765170000000005e-05,0.125871,0.1637067,0.6373786,496,495,1,486.8316,-0.1501424,31.067,65.63034,17.83156,496,495,1,429.348,-0.06318149,46.98315,63.5811,131.0304,444,443,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.42638679999999995,0.0003068068,0.01444035,0.0448794,0.6338180999999999,111,110,1,7.229728e-06,6.661954e-10,6.155573000000001e-07,9.730157e-07,6.390403e-07,496,495,1,0
26753-018,0.0,0.6985117,-0.001174893,0.06138225,0.1119077,0.7690079000000001,106,105,1,314.8013,0.468433,18.95345,45.357009999999995,19.765439999999998,106,105,1,271.7253,-0.9984559000000001,23.76831,45.21163,136.4378,103,102,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.541929e-06,-1.4861690000000001e-08,5.975048e-07,1.1752670000000001e-06,6.095689999999999e-07,106,105,1,0
45758-007,0.0,0.6478271,-0.0008806525,0.1311061,0.1639165,0.5783644,195,194,1,330.1127,-0.13687950000000002,13.488629999999999,35.67889,4.808593,195,194,1,200.1382,0.02459072,39.95115,48.77497,135.9616,156,155,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.793244999999999e-06,2.249611e-09,6.247259000000001e-07,9.888478000000001e-07,6.421401999999999e-07,195,194,1,0
81392-034,0.0,0.7350404,-0.0009461325,0.19256270000000003,0.2297317,0.6473438,195,194,1,336.3876,-0.15469360000000001,24.715629999999997,51.94612,18.14285,195,194,1,429.443,0.2947882,40.78219,61.19673,180.8544,161,160,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.885491e-06,-9.834469000000001e-09,8.329782e-07,1.484918e-06,7.789076e-07,195,194,1,3
81392-035,0.0,0.8327394,-0.0002184466,0.18411970000000003,0.21910149999999998,0.6857774,796,795,1,336.2448,-0.001846397,14.65085,30.76613,13.150920000000001,796,795,1,445.3925,-0.06455145,55.68036,83.58086999999999,208.0715,703,702,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.03960177,3.3777550000000003e-06,0.000478676,0.002452943,0.05921932,324,323,1,8.753574e-06,-6.266954e-10,1.1646040000000001e-06,1.702206e-06,1.000536e-06,796,795,1,3
26753-005,0.0,0.5472537,0.0003317411,0.0835738,0.11226269999999999,0.7158901999999999,96,95,1,27.256079999999997,0.01770842,4.489,5.980624,9.241764,96,95,1,87.98598,0.2780131,11.45915,16.112679999999997,113.3349,93,92,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.414996e-05,5.668097000000001e-08,2.1744399999999997e-06,3.657138e-06,2.364595e-06,96,95,1,0
81392-023,0.0,0.7741215,-0.0007178973,0.1537384,0.1959585,0.5642229,356,355,1,333.6279,-0.1336654,19.83982,43.7801,11.31691,356,355,1,463.8252,-0.6433453,106.9547,136.6214,234.5933,260,259,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0008281861999999999,3.867904e-05,0.0001445651,0.0002383684,0.001146719,13,12,1,6.9331880000000005e-06,8.220419e-10,7.110814e-07,1.1300830000000002e-06,6.207436e-07,356,355,1,3
81392-039,0.0,0.7040185999999999,-0.0009340243,0.1491172,0.18760829999999998,0.7287986,195,194,1,46.52398,-0.03116992,9.480875,11.346589999999999,9.790878999999999,195,194,1,353.7085,0.1559936,31.10114,49.41915,231.2068,183,182,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.380357e-06,7.451709e-10,7.564828e-07,1.166653e-06,6.935273e-07,195,194,1,3
45758-002,0.0,0.8198440999999999,-0.0013651689999999998,0.1507142,0.21462150000000002,0.6805653,256,255,1,185.3925,-0.02405576,11.379660000000001,19.85067,11.547360000000001,256,255,1,440.4547,-0.06981184,101.2099,117.6389,273.9954,228,227,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.144575e-06,2.000211e-10,7.702091e-07,1.041909e-06,7.234668999999999e-07,256,255,1,0
68117-009,0.0,0.6974393,-0.002917146,0.17700120000000003,0.220887,0.585394,86,85,1,475.6013,-0.9585393,34.812459999999994,71.48756,20.99566,86,85,1,433.4881,-2.986016,68.20411999999999,104.6206,229.2997,66,65,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0383179999999998e-07,1.481325e-11,3.388472e-08,4.6233570000000004e-08,3.747883e-08,86,85,1,0
47939-008,0.0,0.7208439999999999,-0.001516606,0.12221199999999999,0.1724674,0.4908692,205,204,1,334.2659,-0.03262243,25.35454,53.63717,11.75858,205,204,1,293.8791,-0.6624201999999999,59.68173,74.53519,168.4152,127,126,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.138588e-06,-1.205938e-09,1.238551e-07,2.1262229999999999e-07,1.2599830000000002e-07,205,204,1,0
26753-024,0.0,0.726225,-0.0004095028,0.10112539999999999,0.1322049,0.6896329000000001,275,274,1,477.6018,-0.1484107,20.66404,54.813719999999996,17.24605,275,274,1,450.8319,0.2528511,97.55986999999999,123.4659,182.3013,263,262,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.3636509999999997e-05,1.4158919999999999e-08,2.260504e-06,3.872156e-06,1.844529e-06,275,274,1,0
47939-007,0.0,0.6506835999999999,0.00025593240000000003,0.16313350000000001,0.1904711,0.49895870000000003,112,111,1,181.7186,-0.26431129999999997,19.9332,37.15419,6.7367360000000005,112,111,1,397.2605,-3.624421,67.30077,121.5965,195.7881,80,79,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.7667989999999997e-06,4.071359e-10,3.0434859999999995e-07,5.010383000000001e-07,2.5502259999999997e-07,112,111,1,0
35063-005,0.0,0.6195725000000001,0.001917946,0.1115529,0.14860009999999998,0.4975669,86,85,1,474.2637,-1.655171,74.45729,114.2251,53.63366,86,85,1,425.6659,-1.2406700000000002,82.51268,102.0887,198.7404,59,58,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.058145e-06,-1.352971e-09,4.176023e-07,5.999596999999999e-07,3.232546e-07,86,85,1,3
81392-009,0.0,0.7281076,-0.0002387773,0.18228139999999998,0.2181486,0.7299939000000001,186,185,1,48.84666,-0.03305653,10.916960000000001,12.98822,9.468577999999999,186,185,1,196.7997,-0.3219257,18.45099,34.09639,155.3998,165,164,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.057723999999999e-06,5.9853789999999995e-09,1.209248e-06,1.582389e-06,1.419315e-06,186,185,1,3
47939-012,0.0,0.7224054,0.001414429,0.11788210000000002,0.15588229999999997,0.42541890000000004,96,95,1,490.9257,0.5559301,99.17638000000001,134.671,60.8485,96,95,1,257.9422,1.47422,50.57273,64.7281,147.0883,50,49,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0820890000000004e-06,-4.2928299999999995e-09,3.452973e-07,5.533707e-07,2.893589e-07,96,95,1,0
81392-007,0.0,0.7638944999999999,2.909445e-05,0.1718576,0.1994962,0.6719734,655,654,1,483.1226,-0.05231066,20.547710000000002,47.394709999999996,16.62779,655,654,1,454.5494,-0.002080951,66.05781,92.55663,200.251,590,589,1,0.09517663,0.0004952099,0.01058676,0.0239337,0.08739892,142,141,1,0.02671761,8.294056e-05,0.001768274,0.004032847,0.03932026,53,52,1,0.02487195,4.9917790000000004e-05,0.004690015,0.007689804000000001,0.01521153,375,374,1,1.258347e-05,2.21413e-10,9.731591999999999e-07,1.535466e-06,8.719587e-07,655,654,1,3
81392-008,0.0,0.8016215999999999,9.710523e-06,0.1890053,0.2155176,0.6583439,1096,1095,1,346.6712,-0.002069553,13.4316,27.84693,10.832410000000001,1096,1095,1,449.5664,-0.05048402,59.458330000000004,86.76463000000001,186.1464,932,931,1,0.3589825,0.0006390695,0.0416488,0.09380607,0.1340305,418,417,1,0.08638063,5.965062e-06,0.002388683,0.007296679,0.1281329,176,175,1,0.1010653,6.521866e-05,0.03442813,0.04359936,0.03882997,815,814,1,7.783068e-06,-1.77895e-10,9.559889e-07,1.349296e-06,9.116278e-07,1096,1095,1,3
26753-025,0.0,0.7168868,-0.00016787009999999998,0.1306433,0.16982979999999998,0.6434905,696,695,1,507.7989,0.02469961,17.12657,43.86032,12.94416,696,695,1,406.6336,0.1076249,40.07808,68.13252,120.8525,624,623,1,0.2037525,0.00013433129999999998,0.006620773000000001,0.02098617,0.3029941,116,115,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.3841119,0.001315124,0.08532042,0.1692341,0.14588620000000002,361,360,1,8.216781e-06,-1.4025220000000003e-09,9.257307e-07,1.333655e-06,9.282555000000001e-07,696,695,1,0
56896-029,0.0,0.8264123999999999,0.0002112959,0.13165839999999998,0.1575905,0.6024967,385,384,1,340.7188,0.01212443,16.04301,40.36136,9.746202,385,384,1,404.1179,-0.20933020000000002,72.38659,91.24235,191.5415,343,342,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.4903000000000002e-05,-1.0049459999999999e-08,1.2899100000000002e-06,2.6787419999999998e-06,1.021551e-06,385,384,1,3
81392-028,0.0,0.7963194,3.936211e-05,0.17893889999999998,0.2067906,0.6707416,1156,1155,1,491.8294,-0.008101695,18.66871,50.812870000000004,15.663120000000001,1156,1155,1,451.51,-0.07440679,67.48045,99.75010999999999,199.9286,1004,1003,1,0.2853813,0.0006745472,0.05781769,0.12551980000000001,0.1828715,538,537,1,0.1806674,-0.000486655,0.04007725,0.06450982,0.23781529999999998,307,306,1,0.8073731,-0.001202875,0.2029642,0.3476305,0.248151,744,515,229,1.2063039999999999e-05,5.598065e-10,1.009602e-06,1.506167e-06,9.693098e-07,1156,1155,1,3
