id,frameTime,voiceProb_sma_max,voiceProb_sma_min,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,HNR_sma_max,HNR_sma_min,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,F0_sma_max,F0_sma_min,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0raw_sma_max,F0raw_sma_min,F0raw_sma_linregc1,F0raw_sma_linregerrA,F0raw_sma_stddev,F0raw_sma_amean,jitterLocal_sma_max,jitterLocal_sma_min,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterDDP_sma_max,jitterDDP_sma_min,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterLocEnv_sma_max,jitterLocEnv_sma_min,jitterLocEnv_sma_linregc1,jitterLocEnv_sma_linregerrA,jitterLocEnv_sma_stddev,jitterLocEnv_sma_amean,jitterDEnv_sma_max,jitterDEnv_sma_min,jitterDEnv_sma_linregc1,jitterDEnv_sma_linregerrA,jitterDEnv_sma_stddev,jitterDEnv_sma_amean,shimmerLocal_sma_max,shimmerLocal_sma_min,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocEnv_sma_max,shimmerLocEnv_sma_min,shimmerLocEnv_sma_linregc1,shimmerLocEnv_sma_linregerrA,shimmerLocEnv_sma_stddev,shimmerLocEnv_sma_amean,pcm_intensity_sma_max,pcm_intensity_sma_min,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,NUV,UV-V-portion
18261,0.025,0.9014063,0.31594120000000003,-0.0001358637,0.0413341,0.08322407,0.8436713,22.1309,-17.62162,-0.008991396,2.615862,5.34778,17.49559,408.2657,0.0,-0.02415908,10.81767,27.443820000000002,153.883,1110,1121,440.4404,77.2326,-0.00661311,6.1430169999999995,21.42788,155.1451,0.5298619999999999,6.826451999999999e-05,4.6721519999999994e-06,0.01403005,0.04508767,0.01273571,0.5298619999999999,6.826451999999999e-05,4.6721519999999994e-06,0.01403005,0.04508767,0.01273571,0.9667396999999999,0.0,2.3791710000000002e-05,0.02230363,0.07322657,0.01710672,0.9667396999999999,0.0,2.3791710000000002e-05,0.02230363,0.07322657,0.01710672,0.44817650000000003,0.0007274357,7.530425e-05,0.03113712,0.05414162,0.06221035,0.44817650000000003,0.0007274357,7.530425e-05,0.03113712,0.05414162,0.06221035,1.216638e-05,1.093064e-08,-1.7842089999999999e-09,1.235964e-06,1.809306e-06,1.721995e-06,11,0.009812667261373774
07920,0.025,0.7207024999999999,0.3547878,0.02199998,0.05644557,0.1423345,0.5116175000000001,9.490346,-16.22133,1.2784739999999999,3.6643589999999997,8.637222999999999,-1.9082580000000002,93.93392,0.0,6.3183300000000004,17.86995,42.08701,32.454440000000005,8,20,480.0951,86.22274,-13.834010000000001,60.883419999999994,115.5834,182.5963,0.5762676999999999,0.002252655,-0.01758066,0.1394279,0.196304,0.2336468,0.5762676999999999,0.002252655,-0.01758066,0.1394279,0.196304,0.2336468,0.7691399,0.0,0.003356659,0.1651491,0.20488520000000005,0.20819870000000001,0.7691399,0.0,0.003356659,0.1651491,0.20488520000000005,0.20819870000000001,0.8099017,0.01325414,-0.04008827,0.102908,0.2649216,0.4032255,0.8099017,0.01325414,-0.04008827,0.102908,0.2649216,0.4032255,6.331551e-06,1.954002e-08,1.1710549999999999e-07,1.2843070000000001e-06,1.960913e-06,1.174483e-06,12,0.6
44209,0.025,0.9327928,0.3921808,0.004018718,0.0659805,0.11907190000000001,0.8761252,26.304209999999998,-4.563225,0.2473228,4.1191059999999995,7.090085,21.620739999999998,397.1619,0.0,0.40263790000000005,36.81305,70.96661999999999,199.7092,50,54,410.2564,196.723,-1.132482,16.23532,34.91475,211.3681,0.25067470000000003,0.00036235989999999996,-0.001778963,0.03204247,0.05675611,0.02220453,0.25067470000000003,0.00036235989999999996,-0.001778963,0.03204247,0.05675611,0.02220453,0.17059870000000002,0.00048348989999999996,-0.001068081,0.01909004,0.03594251,0.01440994,0.17059870000000002,0.00048348989999999996,-0.001068081,0.01909004,0.03594251,0.01440994,0.7251648,0.009692081,-0.004709604,0.09002781,0.156359,0.1029326,0.7251648,0.009692081,-0.004709604,0.09002781,0.156359,0.1029326,2.656739e-06,5.906508999999999e-09,1.4382889999999999e-08,3.626164e-07,5.250351e-07,5.658966999999999e-07,4,0.07407407407407407
24371,0.025,0.9303643,0.2225703,0.0006140262999999999,0.03746325,0.08757146,0.9013049999999999,25.92405,-12.763869999999999,0.04437477,2.415625,5.167747,23.162229999999997,193.7637,0.0,0.2529313,10.59644,27.10316,180.3441,175,178,320.5202,162.4365,0.08016335,4.529505,13.48391,185.6395,0.19334920000000003,0.0,-0.00011176389999999999,0.009031929000000001,0.02459205,0.007783562,0.19334920000000003,0.0,-0.00011176389999999999,0.009031929000000001,0.02459205,0.007783562,0.1031637,0.0,-6.212773000000001e-05,0.004746229,0.01251231,0.005216168,0.1031637,0.0,-6.212773000000001e-05,0.004746229,0.01251231,0.005216168,0.40580279999999996,0.004519245,-0.0002238187,0.02649475,0.05237547,0.04499871,0.40580279999999996,0.004519245,-0.0002238187,0.02649475,0.05237547,0.04499871,4.872212e-06,5.832851e-11,-3.857581e-09,5.337994e-07,8.310101000000001e-07,6.788433e-07,3,0.016853932584269662
29735,0.025,0.9255581,0.36974609999999997,-3.179355e-05,0.01827398,0.04773862,0.8994117,25.204320000000003,-5.519543,-0.003214015,1.459329,3.210583,22.33557,224.8489,0.0,-0.01354387,7.5119229999999995,20.49061,186.7142,939,943,323.7422,95.23809,-0.02096241,7.465142,17.337229999999998,188.1852,0.2548219,0.0,3.639586e-06,0.004530532,0.01863578,0.0061605390000000005,0.2548219,0.0,3.639586e-06,0.004530532,0.01863578,0.0061605390000000005,0.5075061,0.0,1.621472e-05,0.008724599,0.0367343,0.007389051999999999,0.5075061,0.0,1.621472e-05,0.008724599,0.0367343,0.007389051999999999,0.4049365,0.0033341990000000004,1.559009e-05,0.02152654,0.0350191,0.05468393,0.4049365,0.0033341990000000004,1.559009e-05,0.02152654,0.0350191,0.05468393,7.68778e-06,3.106252e-10,-9.686978e-10,5.802215e-07,9.245313e-07,7.050806999999999e-07,4,0.0042417815482502655
73828,0.025,0.9463855999999999,0.17034370000000001,7.15295e-05,0.06632177,0.10782739999999999,0.8825414,169.5377,-14.004570000000001,0.005462531,5.063683,9.478924000000001,22.57907,226.9504,0.0,0.02752115,16.34286,33.124959999999994,192.4153,1868,1884,318.081,82.58572,0.02355839,13.57475,26.87852,194.8414,0.8557982,0.0,-3.758615e-05,0.04871913,0.09753193,0.03465338,0.8557982,0.0,-3.758615e-05,0.04871913,0.09753193,0.03465338,0.9897912,0.0,-5.446174e-05,0.06625785,0.1247875,0.04583191,0.9897912,0.0,-5.446174e-05,0.06625785,0.1247875,0.04583191,0.7964318,0.0,-4.6607749999999994e-05,0.05673754,0.1005065,0.05550717,0.7964318,0.0,-4.6607749999999994e-05,0.05673754,0.1005065,0.05550717,2.4499349999999998e-05,2.1363539999999996e-09,1.875322e-10,4.005627e-06,5.099887e-06,4.93237e-06,16,0.008492569002123142
11739,0.025,0.9120126000000001,0.44676940000000004,6.329645e-05,0.01770086,0.0453487,0.8924194999999999,23.3091,-13.29207,0.005578449,1.815627,3.813714,20.99309,228.9951,0.0,-0.01150722,4.32245,15.6801,163.054,413,416,360.946,153.3554,-0.0492209,4.343465,14.8043,165.6275,0.2720035,8.40981e-05,-3.808163e-05,0.007991577,0.02471153,0.007902343000000001,0.2720035,8.40981e-05,-3.808163e-05,0.007991577,0.02471153,0.007902343000000001,0.2259635,0.00042793800000000005,-2.5977e-05,0.006074254,0.01797829,0.006265435,0.2259635,0.00042793800000000005,-2.5977e-05,0.006074254,0.01797829,0.006265435,0.5443364,0.007709523,1.925755e-06,0.02371718,0.04478715,0.05407164,0.5443364,0.007709523,1.925755e-06,0.02371718,0.04478715,0.05407164,1.009352e-05,1.182613e-08,-6.312664000000001e-09,1.368638e-06,1.902885e-06,3.705874e-06,3,0.007211538461538462
00359,0.025,0.9007219999999999,0.1878954,-3.162337e-05,0.06481025,0.1089029,0.8164719,22.053539999999998,-14.97587,-0.0017878829999999999,3.6367830000000003,5.825154,15.75639,177.7979,0.0,-0.006366903,14.2243,29.634659999999997,131.0641,1627,1691,189.5074,64.77804,-0.0029634229999999998,6.125881,11.57821,137.0232,1.0,0.0,1.071765e-05,0.03865694,0.10415250000000001,0.02845539,1.0,0.0,1.071765e-05,0.03865694,0.10415250000000001,0.02845539,0.9876273000000001,0.0,1.447986e-05,0.04155767,0.105715,0.03014607,0.9876273000000001,0.0,1.447986e-05,0.04155767,0.105715,0.03014607,1.0,0.00046719489999999997,2.505139e-05,0.0521221,0.09800252,0.06197827,1.0,0.00046719489999999997,2.505139e-05,0.0521221,0.09800252,0.06197827,7.461163000000001e-08,3.215546e-11,-4.482441000000001e-12,5.983136e-09,8.812677e-09,8.258261e-09,64,0.03784742755765819
47939,0.025,0.9385235000000001,0.568376,1.4018679999999999e-05,0.01285503,0.03225918,0.9229767,27.25746,-0.7112409000000001,0.0015254029999999998,1.2845790000000001,2.84292,25.20579,492.3076,99.74039,-0.01165204,8.929496,27.73005,202.9473,1030,1030,492.3076,99.68847,-0.0007790976,6.501417,20.20668,201.2049,0.6672053000000001,0.00016590740000000002,-1.06419e-05,0.01211218,0.04861497,0.01001575,0.6672053000000001,0.00016590740000000002,-1.06419e-05,0.01211218,0.04861497,0.01001575,0.9951121999999999,0.0002559627,-1.1355719999999998e-05,0.01925997,0.06961647,0.01298573,0.9951121999999999,0.0002559627,-1.13608e-05,0.01925988,0.06961633,0.0129867,0.7369901999999999,0.0006213472,-1.166673e-05,0.01863269,0.04223975,0.04108439,0.7369901999999999,0.0006213472,-1.166673e-05,0.01863269,0.04223975,0.04108439,1.261951e-05,4.202356e-10,-1.367971e-09,1.5290799999999998e-06,2.149041e-06,1.7818190000000001e-06,0,0.0
53870,0.025,0.9746703999999999,0.3261659,-0.0007027364,0.10268279999999999,0.1747648,0.7949138000000001,161.5816,-20.46694,-0.06187053,7.596647999999999,16.027739999999998,16.62187,418.9838,0.0,-0.4257376,51.4965,88.30362,168.5541,446,509,475.3416,50.11081,-0.23156880000000002,46.32365,76.36044,193.5816,0.889059,0.0,0.0002679162,0.0686648,0.13273970000000002,0.05375733,0.889059,0.0,0.0002625996,0.06927058,0.13307950000000002,0.05421374,0.9819540999999999,0.0002698846,0.00034998559999999996,0.08259804,0.1578133,0.06186604,0.9819540999999999,0.0002698846,0.00040645730000000004,0.09209958,0.17387139999999998,0.06844001,0.7585152,0.0005013383,0.0003300009,0.07327447,0.13139820000000002,0.07789495,0.7585152,0.0005013383,0.000322594,0.07431423,0.13213670000000002,0.07852954,1.991345e-05,2.9647729999999996e-09,-1.482394e-08,2.332867e-06,3.955778e-06,3.2103059999999997e-06,63,0.1237721021611002
